"yvar","variable","importance"
"GSL.50","snowmelt.t.minus.2",31147.2284680065
"GSL.50","snowmelt.t.minus.2",33879.7433995342
"GSL.50","snowmelt.t.minus.2",31276.9805933146
"GSL.50","snowmelt.t.minus.2",32406.7194921117
"EVImax","snowmelt.t.minus.2",0.183214311878683
"EVImax","snowmelt.t.minus.2",0.175684125931852
"EVImax","snowmelt.t.minus.2",0.17855393068741
"EVImax","snowmelt.t.minus.2",0.180868188744179
"EVImax","snowmelt.t.minus.2",0.188448516271205
"EVImax","snowmelt.t.minus.2",0.173989074594855
"EVImax","snowmelt.t.minus.2",0.178753597933374
"EVImax","snowmelt.t.minus.2",0.197136417747715
"EVImax","snowmelt.t.minus.2",0.184420148484342
"EVImax","snowmelt.t.minus.2",0.172373415612284
"OGI","snowmelt.t.minus.1",10538.7705566461
"OGI","snowmelt.t.minus.1",10798.742232041
"OGI","snowmelt.t.minus.1",10526.4504897262
"OGI","snowmelt.t.minus.1",9475.24532320787
"OGI","snowmelt.t.minus.1",11180.1745605398
"OGI","snowmelt.t.minus.1",10657.9771088204
"OGI","snowmelt.t.minus.1",10337.2164734068
"OGI","snowmelt.t.minus.1",10575.7751958616
"OGI","snowmelt.t.minus.1",10214.3124946119
"OGI","snowmelt.t.minus.1",11009.3063092229
"OGMn","snowmelt.t.minus.1",50155.9186672846
"OGMn","snowmelt.t.minus.1",45205.4393424985
"OGMn","snowmelt.t.minus.1",43749.0541904748
"OGMn","snowmelt.t.minus.1",46197.1741602162
"OGMn","snowmelt.t.minus.1",43222.7903111163
"OGMn","snowmelt.t.minus.1",43467.3419043385
"OGMn","snowmelt.t.minus.1",47442.4839358186
"OGMn","snowmelt.t.minus.1",50362.2949140749
"OGMn","snowmelt.t.minus.1",44764.5624111783
"OGMn","snowmelt.t.minus.1",47137.3784433762
"GSL.50","snowmelt.t.minus.1",10048.8198503124
"GSL.50","snowmelt.t.minus.1",9582.93992535329
"GSL.50","snowmelt.t.minus.1",9669.20890707474
"GSL.50","snowmelt.t.minus.1",9342.17471695351
"GSL.50","snowmelt.t.minus.1",10099.9007010818
"GSL.50","snowmelt.t.minus.1",8814.02100421108
"GSL.50","snowmelt.t.minus.1",9905.39834650748
"GSL.50","snowmelt.t.minus.1",10982.2837730131
"GSL.50","snowmelt.t.minus.1",8729.90408845319
"GSL.50","snowmelt.t.minus.1",10677.5619927966
"EVImax","snowmelt.t.minus.1",0.375704779491573
"EVImax","snowmelt.t.minus.1",0.353285074356583
"EVImax","snowmelt.t.minus.1",0.336682608856061
"EVImax","snowmelt.t.minus.1",0.30995038853353
"EVImax","snowmelt.t.minus.1",0.323435190704362
"EVImax","snowmelt.t.minus.1",0.288606508113908
"EVImax","snowmelt.t.minus.1",0.297305491476703
"EVImax","snowmelt.t.minus.1",0.35084065213963
"EVImax","snowmelt.t.minus.1",0.355566346279821
"EVImax","snowmelt.t.minus.1",0.371475604758535
"OGI","snowmelt.t.minus.0",33589.1741180085
"OGI","snowmelt.t.minus.0",34802.7320216922
"OGI","snowmelt.t.minus.0",31527.5914186013
"OGI","snowmelt.t.minus.0",33774.0268387809
